,Cycle,qMax,R0,D
100,101.0,9146.246204935765,0.12129344111873872,5059309.058231923
101,102.0,9136.442887648,0.12184414420744398,5064898.156774723
102,103.0,9204.137601512854,0.12211705001626187,5065428.284394788
103,104.0,9249.62076381585,0.12198956527081013,5060967.831053881
104,105.0,9167.947975000607,0.12657944387289283,4945162.245582856
105,106.0,9099.486737742298,0.12785004673563988,4962000.297737218
106,107.0,8996.039588852625,0.13103329501164707,4919101.569653209
107,108.0,8993.984254961568,0.13168233886801645,4925150.928760979
108,109.0,9007.781344044757,0.1319124003005487,4923525.358662055
109,110.0,8966.955195430555,0.13083817364301625,4915450.730630244
110,111.0,8901.016986760418,0.13363080994657678,4904788.611779467
111,112.0,8872.005013608621,0.1318763328158887,4903149.365414107
112,113.0,8871.86007586126,0.1318891179546336,4903160.540356744
113,114.0,8832.786535632802,0.1296485237245743,4899015.117857903
114,115.0,8820.282654722128,0.1299874971135852,4905902.74472306
115,116.0,8781.616078291921,0.13269766582355227,4941740.78964798
116,117.0,8758.252582418401,0.1345303169186912,4973205.0225506965
117,118.0,8755.570826795727,0.1346102910990549,4974002.344033141
118,119.0,8721.674193220906,0.13324036993410207,4968132.198417218
119,120.0,8886.502252587148,0.13951865469764152,5000928.367975019
120,121.0,8916.065694080156,0.13944658659199002,5000397.310610233
121,122.0,8778.06503325852,0.13806086572693582,4861833.321744823
122,123.0,8710.717887175582,0.13549426195187314,4837868.597850633
123,124.0,8679.359975735577,0.13423964747312106,4832571.722193428
124,125.0,8661.313170645906,0.13622349180656995,4863618.942050734
125,126.0,8631.779049181818,0.13771825553902797,4881163.354033066
126,127.0,8596.250569578075,0.1375623828000924,4888799.838144271
127,128.0,8555.50330782873,0.13588904481090905,4877332.6741989255
128,129.0,8530.216455715106,0.13788468704818949,4907164.04972703
129,130.0,8504.77028101409,0.13691873165257434,4903994.712797302
130,131.0,8506.863362464102,0.13694641559161141,4903831.35815967
131,132.0,8469.221524702454,0.13868069844105996,4929912.438703116
132,133.0,8547.46171126865,0.14511400433560034,4965393.648633767
133,134.0,8615.056175051619,0.14941295904282687,5009595.330914029
134,135.0,8504.027204217753,0.15228911460327071,4883443.925836379
135,136.0,8468.16139814287,0.15054230723909123,4884984.2767719
136,137.0,8404.375580553722,0.15201519203248445,4905391.265499661
137,138.0,8416.604202838798,0.15073088427605055,4918444.32692597
138,139.0,8419.198439259022,0.15180766968703113,4929373.986001565
139,140.0,8382.162202294909,0.15356517409897924,4954718.513858631
140,141.0,8352.803804403336,0.15376691441160642,4950271.63519806
141,142.0,8328.875898841574,0.1544002125531911,4945798.264880573
142,143.0,8318.99970733593,0.15401208013001458,4947554.424386547
143,144.0,8292.740948341348,0.1522922721275107,4950383.117359042
144,145.0,8268.916591916863,0.15410483330844485,4975559.608971702
145,146.0,8229.134109410837,0.15404627826230038,4992819.333070247
146,147.0,8203.802270164559,0.1546538273621068,4989128.456498296
147,148.0,8196.12222219452,0.15472503882113064,4987278.205916258
148,149.0,8203.425351126985,0.15474844664020687,4987014.5003219955
149,150.0,8233.559612048384,0.15430596343248745,4989917.808823187
150,151.0,8458.749542033871,0.15406047929441188,4989536.50608518
151,152.0,8331.098751331256,0.1481758618010496,4982850.688842589
152,153.0,8262.207325340918,0.15123367739103719,4946513.302851551
153,154.0,8230.692323124826,0.153173626030654,4971576.105683135
154,155.0,8206.120657309086,0.15385391574816634,4967788.781377522
155,156.0,8171.550440347129,0.1548087155513215,4981749.437160815
156,157.0,8179.352770191259,0.1547549110224546,4981183.319111039
157,158.0,8137.921646288294,0.15449319434971198,4984535.907725357
158,159.0,8112.17046378051,0.15521163675570723,4979961.625649803
159,160.0,8115.32078365349,0.1551326620364884,4979538.0473343935
160,161.0,8112.030504757626,0.15513760681671623,4978741.938293996
161,162.0,8073.613216652105,0.15519553008805448,4971198.9208908
162,163.0,8074.261366228656,0.15518253233090684,4971415.257785236
163,164.0,8049.076044715128,0.15511355638120056,4970314.177642111
164,165.0,8013.641660048179,0.15601831386781753,4963101.71971167
165,166.0,8009.430108115966,0.15603678411800145,4962772.692881479
166,167.0,8147.309523265099,0.15542163929505615,4962129.945735259
167,168.0,8238.203394799024,0.15541260030307788,4966169.786520717
