Cycle,qMax_origin,qMax
94.0,9432.807908340848,9355.538556148564
95.0,9369.582255667929,9277.735015820685
96.0,9343.070232219125,9001.227158561602
97.0,9302.347253963037,9371.212595117897
98.0,9276.138616506356,9336.678238789118
99.0,9223.498651711769,9224.677750722953
100.0,9192.802666624775,9138.889835993603
101.0,9146.246204935764,8822.61297298437
102.0,9136.442887648,9040.36283846295
103.0,9204.137601512854,9125.277812309145
104.0,9249.62076381585,9064.101751622606
105.0,9167.947975000608,9130.981499658985
106.0,9099.486737742298,9191.403123066231
107.0,8996.039588852625,9420.244664833266
108.0,8993.984254961568,9033.238007458447
109.0,9007.781344044755,9065.780284162354
110.0,8966.955195430555,8950.266365651605
111.0,8901.016986760418,8474.041607233326
112.0,8872.005013608621,8866.12423271073
113.0,8871.86007586126,8885.218925734673
114.0,8832.786535632802,9376.718829761896
115.0,8820.282654722128,8777.865702694515
116.0,8781.616078291921,8847.817903036997
117.0,8758.252582418401,8750.65222125187
118.0,8755.570826795727,8499.759743493265
119.0,8721.674193220906,8970.8573994404
120.0,8886.502252587148,9053.55361730629
121.0,8916.065694080156,9092.388014228954
122.0,8778.06503325852,8578.498477793079
123.0,8710.717887175582,9016.201524583063
124.0,8679.359975735577,8375.180725577035
125.0,8661.313170645906,8788.386997541387
126.0,8631.779049181818,9104.467273657543
127.0,8596.250569578075,8383.378108350764
128.0,8555.50330782873,8434.37925535792
129.0,8530.216455715106,8551.467648572732
130.0,8504.77028101409,8397.721661505551
131.0,8506.863362464102,8177.081314232868
132.0,8469.221524702454,8483.738400253074
133.0,8547.46171126865,8320.46170329834
134.0,8615.056175051619,8717.056809901653
135.0,8504.027204217753,8308.55698671422
136.0,8468.16139814287,8796.288765598447
137.0,8404.375580553722,8239.806709466247
138.0,8416.604202838798,8348.837595067065
139.0,8419.198439259022,8590.427511428748
140.0,8382.162202294909,8124.229593560753
141.0,8352.803804403336,8400.302009581104
142.0,8328.875898841574,8601.051643403782
143.0,8318.99970733593,7984.683393389373
144.0,8292.740948341348,8331.018967318876
145.0,8268.916591916863,8322.640320649725
146.0,8229.134109410837,8389.977240952343
147.0,8203.802270164559,7950.109793914977
148.0,8196.12222219452,7925.556627445927
149.0,8203.425351126985,8310.468067906699
150.0,8233.559612048384,8294.690637321637
151.0,8458.749542033871,8511.72094911252
152.0,8331.098751331256,8403.256107469786
153.0,8262.207325340918,8121.74469443995
154.0,8230.692323124826,8278.482541180836
155.0,8206.120657309086,8266.24535923971
156.0,8171.550440347129,8025.61647423373
157.0,8179.352770191259,8560.873468098362
158.0,8137.921646288294,8234.322025883595
159.0,8112.17046378051,7870.569037695366
160.0,8115.32078365349,8248.52436229671
161.0,8112.030504757626,7914.364318724822
162.0,8073.613216652105,8232.478633137065
163.0,8074.261366228656,8308.131454295226
164.0,8049.076044715128,7883.932684990978
165.0,8013.641660048179,8206.645437138386
166.0,8009.430108115966,8092.083607722496
167.0,8147.309523265099,8314.748987520597
168.0,8238.203394799024,8628.857554522292
